name,link,desc,lang,star,fork,updatedAt
"mozilla / rhino","https://github.com/mozilla/rhino","Rhino is an open-source implementation of JavaScript written entirely in Java","C++","2372","574","2020-01-08T22:34:45Z"
"k8sp / sextant","https://github.com/k8sp/sextant","Fully automatic installation of CoreOS+Kubernetes clusters","Shell","89","31","2017-11-13T12:04:18Z"
"ConnersHua / Profiles","https://github.com/ConnersHua/Profiles","","","3939","1258","2020-01-07T10:55:38Z"
"microapp-store / linjiashop","https://github.com/microapp-store/linjiashop","邻家小铺，轻量，简洁的商城系统,包括后台管理，手机h5，小程序，app版","JavaScript","416","94","2020-01-08T10:50:18Z"
"prasathmani / tinyfilemanager","https://github.com/prasathmani/tinyfilemanager","Web based File Manager in single PHP file, Manage your files efficiently and easily with Tiny File Manager","PHP","1161","433","2020-01-09T07:42:02Z"
"greenplum-db / gpdb","https://github.com/greenplum-db/gpdb","Greenplum Database","C","3732","1063","2020-01-09T12:41:18Z"
"jasonlvhit / gocron","https://github.com/jasonlvhit/gocron","A Golang Job Scheduling Package.","Go","1815","258","2020-01-08T13:00:23Z"
"actions / starter-workflows","https://github.com/actions/starter-workflows","Accelerating new GitHub Actions workflows","","1784","897","2020-01-09T12:52:49Z"
"mozilla / send","https://github.com/mozilla/send","Simple, private file sharing from the makers of Firefox","JavaScript","8859","795","2020-01-07T17:12:45Z"
"jobbole / awesome-go-cn","https://github.com/jobbole/awesome-go-cn","Go 资源大全中文版， 内容包括：Web框架、模板引擎、表单、身份认证、数据库、ORM框架、图片处理、文本处理、自然语言处理、机器学习、日志、代码分析、教程和（电子）书等。","","2088","441","2019-12-02T01:12:11Z"
"jobbole / awesome-mysql-cn","https://github.com/jobbole/awesome-mysql-cn","MySQL 资源大全中文版，分析工具、备份、性能测试、配置、部署、GUI 等","","2240","631","2020-01-02T08:05:02Z"
"Naituw / IPAPatch","https://github.com/Naituw/IPAPatch","Patch iOS Apps, The Easy Way, Without Jailbreak.","Objective-C","3234","519","2019-07-29T03:31:03Z"
"lukechilds / dockerpi","https://github.com/lukechilds/dockerpi","A Virtualised Raspberry Pi inside a Docker image","Dockerfile","643","21","2019-12-16T22:54:01Z"
"JrCs / docker-letsencrypt-nginx-proxy-companion","https://github.com/JrCs/docker-letsencrypt-nginx-proxy-companion","LetsEncrypt companion container for nginx-proxy","Shell","4715","574","2019-12-09T22:01:30Z"
"adobe-webplatform / Snap.svg","https://github.com/adobe-webplatform/Snap.svg","The JavaScript library for modern SVG graphics.","JavaScript","12532","1112","2019-12-23T12:23:28Z"
"maxwellito / vivus","https://github.com/maxwellito/vivus","JavaScript library to make drawing animation on SVG","JavaScript","12691","1038","2019-09-09T21:35:58Z"
"transitive-bullshit / create-react-library","https://github.com/transitive-bullshit/create-react-library","⚡CLI for easily creating reusable react libraries.","JavaScript","3035","187","2020-01-06T10:16:54Z"
"marionebl / svg-term-cli","https://github.com/marionebl/svg-term-cli","Share terminal sessions via SVG and CSS","JavaScript","1646","55","2019-12-28T06:39:40Z"
"justinfrankel / licecap","https://github.com/justinfrankel/licecap","LICEcap simple animated screen capture tool for Windows and OS X","C","3366","314","2019-05-10T07:26:19Z"
"sharkdp / fd","https://github.com/sharkdp/fd","A simple, fast and user-friendly alternative to 'find'","Rust","11811","305","2020-01-02T20:52:28Z"
"JohnSundell / Publish","https://github.com/JohnSundell/Publish","A static site generator for Swift developers","Swift","1449","53","2020-01-09T12:34:51Z"
"metabase / metabase","https://github.com/metabase/metabase","The simplest, fastest way to get business intelligence and analytics to everyone in your company 😋","Clojure","18895","2516","2020-01-09T06:23:41Z"
"reorx / httpstat","https://github.com/reorx/httpstat","curl statistics made simple","Python","3988","264","2017-09-10T23:15:13Z"
"CachetHQ / Cachet","https://github.com/CachetHQ/Cachet","📛 An open source status page system for everyone.","PHP","10639","1230","2020-01-06T06:55:58Z"
"hightman / xunsearch","https://github.com/hightman/xunsearch","免费开源的中文搜索引擎，采用 C/C++ 编写 (基于 xapian 和 scws)，提供 PHP 的开发接口和丰富文档","PHP","1263","338","2019-11-01T08:46:24Z"
"Shanlovana / Sona","https://github.com/Shanlovana/Sona","Sona意为本项目初衷：辅助指导开发。","","73","8","2019-10-25T02:27:09Z"
"jenssegers / php-proxy","https://github.com/jenssegers/php-proxy","A PHP proxy script with https and post support","PHP","601","147","2019-12-06T13:10:24Z"
